,True_subjects,result_subjects,ann0,ann1,ann2
0,Fariba Karimi looking for another role Feb 1st  ,Accounting for Equity Trading,fariba karimi-available positions needed  ,job openings in accounting or operations  ,senior employee needs position in operations/acctounting 
1,Reutes Kobra Changes  ,"Market Data has recently made changes to the Reuters Kobra permissioning database. If you no longer have access to information that you previously utilized on your Kobra application, please contact Julie Pechersky at 713 853-9225 and the data will be restored immediately. We appreciate your assistance. Market Data",accessing information on kobra application  ,changes made to reuters kobra  ,reuters kobra database changes 
2,Draft ICAP WG AGENDA FOR OCt. 5  ,"Agenda for October 5, 2000 ICAP Working Group Meeting",10/5 meeting agenda attached; deadline to add items is 3 p.m. tomorrow  ,here's the first draft of the icap working group meeting agenda on 10/5  ,nyiso_tech_exchange discussion list 
3,Natural Gas Origination  ,Changes in Gas Business,changes to organization  ,"fred, laura and frank in their new roles  ",organization changes 
4,Tyson Update  ,Meeting with Governor,conversation with governor's office  ,upcoming meeting  ,conversations with the governor's office 
5,Lexis-Nexis Training: Houston & Worldwide / Dow Jones Training  ,eSource presents Lexis-Nexis Training Basic and Due Diligence,lexis-nexis basic training  ,lexis-nexis basics clinic invitation  ,lexisnexis training 
6,Final version  ,"Mike,  

    I'm not sure I understand the question. I'm not sure what you mean by  ""putting in your name on this."" I'm not sure what you mean by ""this."" I'm not  sure what you mean by ""this article."" I'm not sure what you mean by ""this  article just got re-written."" I'm not sure what you mean by ""obviously  needs to be updated."" I'm not sure what you mean by ""What do you think about  putting in your name on this?"" I'm not sure what you mean by ""Mike."" I'm not  sure what you mean by ""What do you think about putting in your name on this?""  I'm not sure what you mean by ""Mike."" I'm not sure what you mean by ""What do  you think about putting in your name on this?"" I'm not sure what you mean by  ""Mike."" I'm not sure what you mean by ""What do you think about putting in  your name on this?"" I'm not sure what you mean by ""Mike."" I'm not sure what  you mean by ""What do you think about putting in your name on this?"" I'm not  sure what you mean by ""Mike."" I'm not sure what you mean by ""What do you  think about putting in your name on this?"" I'm not sure what you mean by  ""Mike."" I'm not sure what you mean by ""What do you think about putting in  your name on this?"" I'm not sure what you mean by ""Mike."" I'm not sure what  you mean by ""What do you think about putting in your name on this?"" I'm not  sure what you mean by ""Mike."" I'm not sure what you mean by ""What do you  think about putting in your name on this?"" I'm not sure what you mean by  ""Mike."" I'm not sure what you mean by ""What do you think about putting in  your name on this?"" I'm not sure what you mean by ""Mike."" I'm not sure what  you mean by ""What do you think about putting in your name on this?"" I'm not  sure what you mean by ""Mike."" I'm not sure what you mean by ""What do you  think about putting in your name on this?"" I'",would you claim this article?  ,need your feedback for article  ,article needs an update 
7,Origination Opportunities in Global Markets  ,Resume for,resume attached  ,employee referral  ,candidate reccomendation 
8,Congratulations  ,Super Saturday Candidates,kudos on super saturday  ,congrats for being a super saturday candidate!  ,super saturday candidates 
9,"Meeting on Tuesday, November 30  ","Sara,  I am sorry, but I do not think we can change the time. We have a  conference call scheduled for 2 pm in Houston. I will be in the office  until 1:30 pm and then I will be at the airport. I will be back in the  office around 5 pm. I will be in the office tomorrow morning. I will be  out of the office from 10 am to 1 pm. I will be back in the office around  1:30 pm. I will be out of the office from 2 pm to 5 pm. I will be back in  the office tomorrow morning. I will be out of the office from 10 am to 1  pm. I will be back in the office around 1:30 pm. I will be out of the  office from 2 pm to 5 pm. I will be back in the office tomorrow morning. I  will be out of the office from 10 am to 1 pm. I will be back in the office  around 1:30 pm. I will be out of the office from 2 pm to 5 pm. I will be  back in the office tomorrow morning. I will be out of the office from 10  am to 1 pm. I will be back in the office around 1:30 pm. I will be out of  the office from 2 pm to 5 pm. I will be back in the office tomorrow morning. I will be out of the office from 10 am to 1 pm. I will be back in the office around keram  

    ### Response:
    Sara,  I am sorry, but I do not think we can change the time. We have a  conference call scheduled for 2 pm in Houston. I will be in the office  until 1:30 pm and then I will be at the airport. I will be back in the  office around 5 pm. I will be in the office tomorrow morning. I will be  out of the office from 10 am to 1 pm. I will be back in the office around  1:30 pm. I will be out of the office from 2 pm to 5 pm. I will be back in  the office tomorrow morning. I will be out of the office from 10 am to 1  pm. I will be back in",reschedule details  ,need to reschedule  ,reschedule for 2:00 pm for meeting with houston 
